Name,Latitude,Longitude
Khalapur Toll Plaza,18.79,73.2816
Talegaon Toll Plaza,18.735,73.675
Urse Toll Plaza,18.72,73.62
Mum-Satara,19.05129474,72.93681859
Vashi Toll Plaza,19.06707399,72.98312918
Mum-Satara 1,19.03296107,73.02975492
Panvel Toll,18.96639404,73.16128335
Koan,18.95757521,73.15666297
Yashwant nagar,18.77071064,73.33673034
Lonavla,18.75985137,73.42842752
Talegaon 1,18.71483417,73.64408494
Ravet,18.66278138,73.72718644
Dehu Road,18.68685181,73.72056504
Pune,18.53049934,73.85510427
